CategoryId,Name,Path,AvailableCount,TotalCount
260471,Wariatory,,6000,12679
115841,Chełmińskie Przedmieście,,0,0
115056,Pow. gryfiński,,2,2
12844,Zestawy,,47,47
116914,Pow. oławski,,0,0
115429,Pow. bolesławiecki,,1,1
147545,Religijne,,326,326
119388,Komorowice Śląskie,,0,0
1116,Guziki wojskowe,,622,622
12661,900,,4,4
3589,skala 1:350 i 1:400,,659,659
115370,Pozostałe,,0,0
12434,Pozostałe,,12,12
146524,2005,,3,3
115481,Zamość,,2,2
50880,Sprzęgła,,6000,262281
114283,Pow. gnieźnieński,,0,0
68719,Tasaki,,245,245
62510,Holandia,,0,0
4047,Renault,,1468,1468
116818,Klimontów,,0,0
93116,Azja,,3983,3983
257402,Anteny,,1020,1020
50887,Tarcze,,6000,6788
112903,Kraków,,0,0
12420,156,,19,19
90341,Ekonomia,,6000,23767
18080,E12 (1972-1981),,1,1
20271,Pozostałe,,3619,3619
45752,Tibia,,1068,1068
113115,Poznań,,1,1
256465,Papier,,4,4
117714,Pow. sulęciński,,0,0
256650,Oświetlenie,,1429,1429
259388,Szczotki i grzebienie,,6000,6870
118767,Zwierzyniec,,0,0
119247,Wrotków,,0,0
50459,Rosja i ZSRR,,82,82
89319,Getry,,1282,1282
119277,Wola,,0,0
255646,Wieszaki,,4221,4221
119839,Pow. elbląski,,0,0
119584,Biała Podlaska,,1,1
116659,Nowa Wieś Królewska,,0,0
120301,Pow. brodnicki,,0,0
253848,X5 M,,13,13
119789,Gliwice,,4,4
119018,Pow. strzyżowski,,0,0
120553,Pow. zawierciański,,2,2
53676,Puszki,,55,55
112841,Biała Podlaska,,0,0
117217,Pow. piski,,0,0
257457,Pompki,,2109,2109
123956,Podróżne,,1024,1024
258712,Donice,,1444,1444
93146,Słowacki,,325,325
114098,Pow. gostyniński,,0,0
91483,Naukowe i popularnonaukowe,,6000,412998
259799,Pozostałe,,259,259
114991,Pow. włoszczowski,,0,0
118878,Pow. tomaszowski,,0,0
147152,1520 Lumia,,41,41
259903,"Cewniki, dreny, zgłębniki",,669,669
257400,Przetwornice napięcia,,4893,4893
26929,H0 - 1:87,,2356,2356
45672,Pielęgnacja ust,,6000,8775
121350,Pozostałe,,6000,21714
255085,Paralizatory,,63,63
117609,Wielgowo,,0,0
18320,Pozostałe,,3,3
252391,Pozostałe,,1891,1891
90845,"Prace domowe, prowadzenie domu",,995,995
259450,Kołki i zaślepki,,699,699
120007,Góra Kalwaria,,1,1
253260,Niewidzialne wycieraczki,,1198,1198
115420,Śląskie,,16,16
117404,Przybyszówka,,0,0
64570,Falcerki,,12,12
125784,Produkty spożywcze,,3605,3605
253313,Konserwacja podwozia,,3739,3739
113495,Żelechowa,,0,0
119873,Pow. nowotomyski,,0,0
116555,Stare Miasto,,0,0
117694,Pow. lubelski,,0,0
116564,Fordon,,0,0
145177,Pozostałe,,0,0
112781,Podlaskie,,0,0
76334,Akcesoria,,1266,1266
12962,Lizardmen,,67,67
269,Pozostałe,,6000,162067
253613,"Uchwyty, wieszaki",,6000,10126
12723,Seria 200,,0,0
114021,Pow. opolski,,0,0
116607,Górna,,1,1
260525,"Maski, serum do stóp",,208,208
99362,Butelki i akcesoria,,6000,22349
75534,Curve 8520,,24,24
18397,Pozostałe,,0,0
122483,"Stawy, mięśnie, kości",,145,145
119842,Pow. gołdapski,,0,0
115193,Zakrzów,,0,0
260393,Urządzenia medyczne,,6000,7649
115706,Pow. myszkowski,,2,2
257125,Crossland X,,3,3
13590,Osprzęt jachtowy,,6000,18276
97765,Społeczno-obyczajowe,,2672,2672
117713,Pow. strzelecko-drezdenecki,,0,0
1495,Szaliki i szale,,6000,36502
260252,Suszarki i ociekacze,,4351,4351
98318,Wieczór kawalerski,,6000,26353
118757,Łagiewniki,,0,0
67095,Akcesoria,,6000,14925
120135,Szombierki,,0,0
3707,do 1939,,288,288
145200,F-Type,,3,3
256075,X3 Soul Style,,0,0
63818,Gorsety,,6000,12780
115102,Pozostałe,,2,2
252972,Abonamenty,,6,6
113259,Wilanów,,0,0
115134,Pozostałe,,2,2
8993,Kino domowe,,4734,4734
260299,Akcesoria,,809,809
259625,Pompki,,388,388
93573,Jixin,,23,23
117650,Pow. średzki,,0,0
145180,F430,,0,0
115873,Śródmieście,,0,0
89112,Geografia społeczno-ekonomiczna,,1031,1031
93574,Brio,,401,401
114241,Pow. żywiecki,,1,1
110698,Urządzenia,,2492,2492
26317,Wazy,,265,265
259921,III (2018-),,0,0
99485,Plecaki przedszkolne,,6000,13698
253310,Zestawy naprawcze,,134,134
252407,Skrzynie i wózki narzędziowe,,6000,14704
122358,Nagłowne,,465,465
116029,Szombierki,,0,0
